NCBI_Sample_Name,host_subject_id,NCBI_Sample_Title,title,host,Sample.Date,geo_loc_name,Plug_ID,Timepoint,Treatment,env_broad_scale,lat_lon,env_medium,env_local_scale,organism,host_life_stage,host_tissue_sampled,isolation_source,samp_collect_device,samp_mat_process,size_frac,samp_size,SRA_upload,filename1,filename2,description,timepoint,accession
2550_ATHC_ITS2,HP145,2550_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Reef.18,2550,8 week,ATHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP145_S54_L001_R1_001.fastq.gz,HP145_S54_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 8 week,at 8 week,SAMN21362724
1765_HTAC_ITS2,HP146,1765_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-10-20,USA: Hawaii Reef.42.43,1765,4 week,HTAC,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP146_S66_L001_R1_001.fastq.gz,HP146_S66_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 4 week,at 4 week,SAMN21362725
1536_HTAC_ITS2,HP147,1536_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Reef.35.36,1536,8 week,HTAC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP147_S78_L001_R1_001.fastq.gz,HP147_S78_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362726
2993_ATHC_ITS2,HP148,2993_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.11.13,2993,12 hour,ATHC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP148_S90_L001_R1_001.fastq.gz,HP148_S90_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 12 hour,at 12 hour,SAMN21362727
1238_HTHC_ITS2,HP149,1238_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Reef.42.43,1238,8 week,HTHC,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP149_S7_L001_R1_001.fastq.gz,HP149_S7_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 8 week,at 8 week,SAMN21362728
1559_ATAC_ITS2,HP150,1559_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Lilipuna.Fringe,1559,8 week,ATAC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP150_S19_L001_R1_001.fastq.gz,HP150_S19_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362729
2026_HTAC_ITS2,HP107,2026_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.42.43,2026,6 hour,HTAC,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP107_S73_L001_R1_001.fastq.gz,HP107_S73_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 6 hour,at 6 hour,SAMN21362730
1060_ATAC_ITS2,HP151,1060_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.18,1060,12 hour,ATAC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP151_S31_L001_R1_001.fastq.gz,HP151_S31_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 12 hour,at 12 hour,SAMN21362731
1478_HTAC_ITS2,HP152,1478_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-17,USA: Hawaii Reef.11.13,1478,8 week,HTAC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP152_S43_L001_R1_001.fastq.gz,HP152_S43_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362732
1331_HTHC_ITS2,HP153,1331_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-03,USA: Hawaii Reef.11.13,1331,6 week,HTHC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP153_S55_L001_R1_001.fastq.gz,HP153_S55_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 6 week,at 6 week,SAMN21362733
1306_HTAC_ITS2,HP154,1306_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-03,USA: Hawaii Lilipuna.Fringe,1306,6 week,HTAC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP154_S67_L001_R1_001.fastq.gz,HP154_S67_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 6 week,at 6 week,SAMN21362734
2564_ATHC_ITS2,HP155,2564_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-10-20,USA: Hawaii Reef.18,2564,4 week,ATHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP155_S79_L001_R1_001.fastq.gz,HP155_S79_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 4 week,at 4 week,SAMN21362735
1303_HTAC_ITS2,HP156,1303_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-23,USA: Hawaii Reef.35.36,1303,30 hour,HTAC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP156_S91_L001_R1_001.fastq.gz,HP156_S91_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 30 hour,at 30 hour,SAMN21362736
1296_ATHC_ITS2,HP157,1296_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-23,USA: Hawaii Reef.11.13,1296,30 hour,ATHC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP157_S8_L001_R1_001.fastq.gz,HP157_S8_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 30 hour,at 30 hour,SAMN21362737
2995_ATHC_ITS2,HP158,2995_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-03,USA: Hawaii Reef.11.13,2995,6 week,ATHC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP158_S20_L001_R1_001.fastq.gz,HP158_S20_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 6 week,at 6 week,SAMN21362738
1471_ATAC_ITS2,HP108,1471_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.35.36,1471,6 hour,ATAC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP108_S85_L001_R1_001.fastq.gz,HP108_S85_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 6 hour,at 6 hour,SAMN21362739
2197_ATHC_ITS2,HP159,2197_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Reef.35.36,2197,8 week,ATHC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP159_S32_L001_R1_001.fastq.gz,HP159_S32_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 8 week,at 8 week,SAMN21362740
1779_ATAC_ITS2,HP160,1779_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-10-20,USA: Hawaii Reef.42.43,1779,4 week,ATAC,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP160_S44_L001_R1_001.fastq.gz,HP160_S44_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 4 week,at 4 week,SAMN21362741
2873_ATHC_ITS2,HP161,2873_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii HIMB,2873,6 week,ATHC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP161_S56_L001_R1_001.fastq.gz,HP161_S56_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 6 week,at 6 week,SAMN21362742
1196_ATAC_ITS2,HP162,1196_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-09-23,USA: Hawaii Reef.18,1196,30 hour,ATAC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP162_S68_L001_R1_001.fastq.gz,HP162_S68_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 30 hour,at 30 hour,SAMN21362743
1225_HTAC_ITS2,HP163,1225_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii HIMB,1225,8 week,HTAC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP163_S80_L001_R1_001.fastq.gz,HP163_S80_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362744
2861_ATHC_ITS2,HP164,2861_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-10-20,USA: Hawaii HIMB,2861,4 week,ATHC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP164_S92_L001_R1_001.fastq.gz,HP164_S92_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 4 week,at 4 week,SAMN21362745
2064_HTAC_ITS2,HP165,2064_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii HIMB,2064,8 week,HTAC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP165_S9_L001_R1_001.fastq.gz,HP165_S9_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362746
1644_ATAC_ITS2,HP109,1644_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-12-15,USA: Hawaii HIMB,1644,12 week,ATAC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP109_S2_L001_R1_001.fastq.gz,HP109_S2_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 12 week,at 12 week,SAMN21362747
1168_HTHC_ITS2,HP166,1168_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-23,USA: Hawaii Reef.35.36,1168,30 hour,HTHC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP166_S21_L001_R1_001.fastq.gz,HP166_S21_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 30 hour,at 30 hour,SAMN21362748
1561_ATAC_ITS2,HP167,1561_ATAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-17,USA: Hawaii Reef.11.13,1561,8 week,ATAC,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP167_S33_L001_R1_001.fastq.gz,HP167_S33_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362749
1220_ATHC_ITS2,HP168,1220_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Lilipuna.Fringe,1220,12 hour,ATHC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP168_S45_L001_R1_001.fastq.gz,HP168_S45_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 12 hour,at 12 hour,SAMN21362750
2000_HTAC_ITS2,HP169,2000_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-09-22,USA: Hawaii HIMB,2000,12 hour,HTAC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP169_S57_L001_R1_001.fastq.gz,HP169_S57_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 12 hour,at 12 hour,SAMN21362751
2300_HTHC_ITS2,HP170,2300_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Reef.18,2300,8 week,HTHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP170_S69_L001_R1_001.fastq.gz,HP170_S69_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 8 week,at 8 week,SAMN21362752
1184_HTHC_ITS2,HP171,1184_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-10-20,USA: Hawaii Lilipuna.Fringe,1184,4 week,HTHC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP171_S81_L001_R1_001.fastq.gz,HP171_S81_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 4 week,at 4 week,SAMN21362753
1345_HTHC_ITS2,HP172,1345_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-09-23,USA: Hawaii Reef.18,1345,30 hour,HTHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP172_S93_L001_R1_001.fastq.gz,HP172_S93_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 30 hour,at 30 hour,SAMN21362754
