biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN21362724	2550_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP145_S54_L001_R1_001.fastq.gz	HP145_S54_L001_R2_001.fastq.gz				
SAMN21362725	1765_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP146_S66_L001_R1_001.fastq.gz	HP146_S66_L001_R2_001.fastq.gz				
SAMN21362726	1536_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP147_S78_L001_R1_001.fastq.gz	HP147_S78_L001_R2_001.fastq.gz				
SAMN21362727	2993_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP148_S90_L001_R1_001.fastq.gz	HP148_S90_L001_R2_001.fastq.gz				
SAMN21362728	1238_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP149_S7_L001_R1_001.fastq.gz	HP149_S7_L001_R2_001.fastq.gz				
SAMN21362729	1559_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP150_S19_L001_R1_001.fastq.gz	HP150_S19_L001_R2_001.fastq.gz				
SAMN21362730	2026_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP107_S73_L001_R1_001.fastq.gz	HP107_S73_L001_R2_001.fastq.gz				
SAMN21362731	1060_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP151_S31_L001_R1_001.fastq.gz	HP151_S31_L001_R2_001.fastq.gz				
SAMN21362732	1478_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP152_S43_L001_R1_001.fastq.gz	HP152_S43_L001_R2_001.fastq.gz				
SAMN21362733	1331_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP153_S55_L001_R1_001.fastq.gz	HP153_S55_L001_R2_001.fastq.gz				
SAMN21362734	1306_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP154_S67_L001_R1_001.fastq.gz	HP154_S67_L001_R2_001.fastq.gz				
SAMN21362735	2564_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP155_S79_L001_R1_001.fastq.gz	HP155_S79_L001_R2_001.fastq.gz				
SAMN21362736	1303_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP156_S91_L001_R1_001.fastq.gz	HP156_S91_L001_R2_001.fastq.gz				
SAMN21362737	1296_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP157_S8_L001_R1_001.fastq.gz	HP157_S8_L001_R2_001.fastq.gz				
SAMN21362738	2995_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP158_S20_L001_R1_001.fastq.gz	HP158_S20_L001_R2_001.fastq.gz				
SAMN21362739	1471_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP108_S85_L001_R1_001.fastq.gz	HP108_S85_L001_R2_001.fastq.gz				
SAMN21362740	2197_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP159_S32_L001_R1_001.fastq.gz	HP159_S32_L001_R2_001.fastq.gz				
SAMN21362741	1779_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP160_S44_L001_R1_001.fastq.gz	HP160_S44_L001_R2_001.fastq.gz				
SAMN21362742	2873_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP161_S56_L001_R1_001.fastq.gz	HP161_S56_L001_R2_001.fastq.gz				
SAMN21362743	1196_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP162_S68_L001_R1_001.fastq.gz	HP162_S68_L001_R2_001.fastq.gz				
SAMN21362744	1225_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP163_S80_L001_R1_001.fastq.gz	HP163_S80_L001_R2_001.fastq.gz				
SAMN21362745	2861_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP164_S92_L001_R1_001.fastq.gz	HP164_S92_L001_R2_001.fastq.gz				
SAMN21362746	2064_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP165_S9_L001_R1_001.fastq.gz	HP165_S9_L001_R2_001.fastq.gz				
SAMN21362747	1644_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP109_S2_L001_R1_001.fastq.gz	HP109_S2_L001_R2_001.fastq.gz				
SAMN21362748	1168_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP166_S21_L001_R1_001.fastq.gz	HP166_S21_L001_R2_001.fastq.gz				
SAMN21362749	1561_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP167_S33_L001_R1_001.fastq.gz	HP167_S33_L001_R2_001.fastq.gz				
SAMN21362750	1220_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP168_S45_L001_R1_001.fastq.gz	HP168_S45_L001_R2_001.fastq.gz				
SAMN21362751	2000_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP169_S57_L001_R1_001.fastq.gz	HP169_S57_L001_R2_001.fastq.gz				
SAMN21362752	2300_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP170_S69_L001_R1_001.fastq.gz	HP170_S69_L001_R2_001.fastq.gz				
SAMN21362753	1184_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP171_S81_L001_R1_001.fastq.gz	HP171_S81_L001_R2_001.fastq.gz				
SAMN21362754	1345_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP172_S93_L001_R1_001.fastq.gz	HP172_S93_L001_R2_001.fastq.gz				
SAMN21362755	1676_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP110_S14_L001_R1_001.fastq.gz	HP110_S14_L001_R2_001.fastq.gz				
SAMN21362756	2412_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP173_S10_L001_R1_001.fastq.gz	HP173_S10_L001_R2_001.fastq.gz				
SAMN21362757	1757_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP174_S22_L001_R1_001.fastq.gz	HP174_S22_L001_R2_001.fastq.gz				
SAMN21362758	2012_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP175_S34_L001_R1_001.fastq.gz	HP175_S34_L001_R2_001.fastq.gz				
SAMN21362759	1436_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP176_S46_L001_R1_001.fastq.gz	HP176_S46_L001_R2_001.fastq.gz				
SAMN21362760	1254_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP177_S58_L001_R1_001.fastq.gz	HP177_S58_L001_R2_001.fastq.gz				
SAMN21362761	1051_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP178_S70_L001_R1_001.fastq.gz	HP178_S70_L001_R2_001.fastq.gz				
SAMN21362762	1631_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP111_S26_L001_R1_001.fastq.gz	HP111_S26_L001_R2_001.fastq.gz				
SAMN21362763	1776_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP179_S82_L001_R1_001.fastq.gz	HP179_S82_L001_R2_001.fastq.gz				
SAMN21362764	2877_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP180_S94_L001_R1_001.fastq.gz	HP180_S94_L001_R2_001.fastq.gz				
SAMN21362765	1466_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP181_S11_L001_R1_001.fastq.gz	HP181_S11_L001_R2_001.fastq.gz				
SAMN21362766	1705_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP182_S23_L001_R1_001.fastq.gz	HP182_S23_L001_R2_001.fastq.gz				
SAMN21362767	2183_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP112_S38_L001_R1_001.fastq.gz	HP112_S38_L001_R2_001.fastq.gz				
SAMN21362768	2866_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP183_S35_L001_R1_001.fastq.gz	HP183_S35_L001_R2_001.fastq.gz				
SAMN21362769	1330_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP184_S47_L001_R1_001.fastq.gz	HP184_S47_L001_R2_001.fastq.gz				
SAMN21362770	1617_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP185_S59_L001_R1_001.fastq.gz	HP185_S59_L001_R2_001.fastq.gz				
SAMN21362771	1164_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP186_S71_L001_R1_001.fastq.gz	HP186_S71_L001_R2_001.fastq.gz				
SAMN21362772	2870_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP187_S83_L001_R1_001.fastq.gz	HP187_S83_L001_R2_001.fastq.gz				
SAMN21362773	1227_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP188_S95_L001_R1_001.fastq.gz	HP188_S95_L001_R2_001.fastq.gz				
SAMN21362774	2518_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP189_S12_L001_R1_001.fastq.gz	HP189_S12_L001_R2_001.fastq.gz				
SAMN21362775	2999_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP190_S24_L001_R1_001.fastq.gz	HP190_S24_L001_R2_001.fastq.gz				
SAMN21362776	1496_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP191_S36_L001_R1_001.fastq.gz	HP191_S36_L001_R2_001.fastq.gz				
SAMN21362777	1103_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP113_S50_L001_R1_001.fastq.gz	HP113_S50_L001_R2_001.fastq.gz				
SAMN21362778	1755_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP192_S48_L001_R1_001.fastq.gz	HP192_S48_L001_R2_001.fastq.gz				
SAMN21362779	1246_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP193_S60_L001_R1_001.fastq.gz	HP193_S60_L001_R2_001.fastq.gz				
SAMN21362780	1128_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP194_S72_L001_R1_001.fastq.gz	HP194_S72_L001_R2_001.fastq.gz				
SAMN21362781	1721_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP195_S84_L001_R1_001.fastq.gz	HP195_S84_L001_R2_001.fastq.gz				
SAMN21362782	1696_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP114_S62_L001_R1_001.fastq.gz	HP114_S62_L001_R2_001.fastq.gz				
SAMN21362783	1114_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP196_S96_L001_R1_001.fastq.gz	HP196_S96_L001_R2_001.fastq.gz				
SAMN21362784	2527_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP197_S97_L001_R1_001.fastq.gz	HP197_S97_L001_R2_001.fastq.gz				
SAMN21362785	1637_ATAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP198_S109_L001_R1_001.fastq.gz	HP198_S109_L001_R2_001.fastq.gz				
