"","Treatment","Date","AragSat","CO2","CO3","DIC","HCO3","pCO2","pH","TA","Temperature"
"58","ATHC",20181114,"1.351 ± 0.068","33.406 ± 3.147","83.491 ± 4.239","2023.487 ± 33.318","1906.59 ± 34.387","1214.938 ± 118.11","7.602 ± 0.033","2112.805 ± 23.611","26.54 ± 0.101"
"59","HTAC",20181114,"3.949 ± 0.083","7.64 ± 0.281","239.934 ± 5.001","1752.939 ± 7.606","1505.366 ± 12.322","300.357 ± 10.88","8.11 ± 0.012","2101.418 ± 0.463","29.79 ± 0.047"
"60","HTHC",20181114,"2.111 ± 0.583","23.672 ± 7.527","128.346 ± 35.321","1919.377 ± 57.696","1767.359 ± 83.664","928.124 ± 295.133","7.739 ± 0.135","2085.289 ± 21.335","29.67 ± 0.092"
"61","ATAC",20181117,"3.631 ± 0.107","7.953 ± 0.471","224.973 ± 6.617","1776.694 ± 17.057","1543.767 ± 22.844","283.641 ± 16.596","8.138 ± 0.019","2102.474 ± 7.873","25.803 ± 0.027"
"62","ATHC",20181117,"1.516 ± 0.055","28.464 ± 1.245","93.924 ± 3.353","2007.108 ± 5.238","1884.719 ± 7.013","1018.51 ± 43.057","7.669 ± 0.017","2116.705 ± 3.4","25.923 ± 0.072"
"63","HTAC",20181117,"3.924 ± 0.016","7.85 ± 0.095","238.613 ± 0.929","1772.089 ± 3.932","1525.625 ± 4.759","307.319 ± 4.393","8.105 ± 0.005","2117.386 ± 2.373","29.603 ± 0.13"
"64","HTHC",20181117,"1.455 ± 0.126","32.912 ± 3.264","88.505 ± 7.744","2011.025 ± 5.358","1889.608 ± 7.893","1284.574 ± 128.674","7.581 ± 0.041","2107.748 ± 13.813","29.49 ± 0.234"
"65","ATAC",20181125,"2.645 ± 0.048","13.736 ± 0.385","165.034 ± 2.835","1919.56 ± 10.808","1740.79 ± 12.622","484.033 ± 11.886","7.954 ± 0.008","2149.237 ± 7.776","25.19 ± 0.149"
"66","ATHC",20181125,"2.7 ± 0.04","13.001 ± 0.332","168.468 ± 2.525","1892.532 ± 9.416","1711.063 ± 11.058","458.373 ± 11.112","7.97 ± 0.008","2128.86 ± 6.72","25.207 ± 0.047"
"67","HTAC",20181125,"2.764 ± 0.036","13.435 ± 0.202","170.656 ± 2.113","1892.153 ± 2.906","1708.062 ± 3.774","504.756 ± 7.076","7.933 ± 0.005","2131.011 ± 3.722","27.717 ± 0.072"
"68","HTHC",20181125,"2.777 ± 0.091","13.172 ± 0.438","171.683 ± 5.605","1880.598 ± 3.342","1695.743 ± 3.126","493.474 ± 15.13","7.94 ± 0.013","2121.814 ± 11.296","27.583 ± 0.106"
