Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME ,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link
SITE 2,HIMB,3,M22,Mcapitata,20180904,1110,1,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:29,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,2,M19,Mcapitata,20180907,1428,6,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:05,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,8,M75,Mcapitata,20180907,1497,8,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:16,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,3,P25,Pacuta,20180906,1577,8,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:15,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,3,P24,Pacuta,20180905,1750,6,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:04,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,2,P18,Pacuta,20180907,1041,1,ATAC,Ambient,Ambient,TP3,Molecular,13:18,NA,20180922,Alive,,In Freezer at URI,20181210,20190823,MS,"367, 368",62.4,83.8,7.7,YES,44,64.9,NA,90,90,95,95,5.616,3.96,7.961,6.1655,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,
SITE 2,HIMB,4,M38,Mcapitata,20180904,1101,1,ATAC,Ambient,Ambient,TP3,Molecular,13:19,NA,20180922,Alive,,In Freezer at URI,20181210,20190823,MS,"363, 364",27.1,30.8,8.3,YES,13.8,19,NA,90,90,95,95,2.439,1.242,2.926,1.805,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,
SITE 5,Reef.35.36,8,P71,Pacuta,20180906,1471,6,ATAC,Ambient,Ambient,TP3,Molecular,13:38,NA,20180922,Alive,,In Freezer at URI,20181210,20190718,ES,"15, 16",54.8,53.9,8.5,YES,41.2,52.9,8,90,90,90,90,4.932,3.708,4.851,4.761,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 4,Reef.11.13,2,M15,Mcapitata,20180907,1548,8,ATAC,Ambient,Ambient,TP3,Molecular,13:21,NA,20180922,Alive,"extracted 20190823, 20190903, 20190904",In Freezer at URI,20181210,20190904,ES,"437, 438",23.1,24.2,8,YES,16.9,19.8,NA,90,90,95,95,2.079,1.521,2.299,1.881,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,
SITE 2,HIMB,7,M62,Mcapitata,20180904,1628,6,ATAC,Ambient,Ambient,TP3,Molecular,13:40,NA,20180922,Alive,"extracted 20190722, 20190903, 20190904; 20191113",In Freezer at URI,20181210,20191113,MS,"563, 564",47.9,45,8.1,YES,26.2,22.2,NA,90,90,95,95,4.311,2.358,4.275,2.109,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-22-Soft-and-Hard-Homogenization-Extractions-%2353-72.md,
SITE 4,Reef.11.13,7,P61,Pacuta,20180907,1637,8,ATAC,Ambient,Ambient,TP3,Molecular,13:21,NA,20180922,Alive,,In Freezer at URI,20181210,20190805,ES,"275, 276",86.6,106,7.9,YES,49.6,69.4,7.7,90,90,95,95,7.794,4.464,10.07,6.593,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,
SITE 1,Lilipuna.Fringe,4,M40,Mcapitata,20180908,1066,1,ATAC,Ambient,Ambient,TP3,Physiology,14:06,Run 1,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,6,P54,Pacuta,20180905,1100,1,ATAC,Ambient,Ambient,TP3,Physiology,14:06,Run 1,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,P3,Pacuta,20180905,1116,1,ATAC,Ambient,Ambient,TP3,Physiology,14:06,Run 1,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,M49,Mcapitata,20180910,1305,1,ATAC,Ambient,Ambient,TP3,Physiology,14:06,Run 1,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,3,M23,Mcapitata,20180907,1549,8,ATAC,Ambient,Ambient,TP3,Physiology,19:45,Run 3,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,1,P7,Pacuta,20180906,1602,8,ATAC,Ambient,Ambient,TP3,Physiology,19:45,Run 3,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,8,P72,Pacuta,20180907,1620,8,ATAC,Ambient,Ambient,TP3,Physiology,19:45,Run 3,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,4,M38,Mcapitata,20180905,2001,8,ATAC,Ambient,Ambient,TP3,Physiology,19:45,Run 3,20180922,Alive,,In Freezer at URI ,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,P44,Pacuta,20180910,1060,1,ATAC,Ambient,Ambient,TP4,Molecular,19:18,NA,20180922,Alive,,In Freezer at URI,20181210,20190725,ES,"131, 132",71.8,81.7,7.9,YES,44.3,50.1,7.7,90,90,90,90,6.462,3.987,7.353,4.509,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,
SITE 5,Reef.35.36,2,M12,Mcapitata,20180906,1108,1,ATAC,Ambient,Ambient,TP4,Molecular,19:19,NA,20180922,Alive,,In Freezer at URI,20181210,20191121,ES,"577, 578",20.9,10.9,8.7,YES,13.15,6.26,NA,90,90,95,95,1.881,1.1835,1.0355,0.5947,Batch3,,
SITE 2,HIMB,3,M30,Mcapitata,20180904,1609,6,ATAC,Ambient,Ambient,TP4,Molecular,19:25,NA,20180922,Alive,"re-extracted (561, 562, 667, 668)",In Freezer at URI,20181210,20191208,ES,"667, 668",25.9,18.9,8.4,YES,12.45,10.2,NA,90,90,95,95,2.331,1.1205,1.7955,0.969,Batch3,,
SITE 2,HIMB,7,M61,Mcapitata,20180904,1651,8,ATAC,Ambient,Ambient,TP4,Molecular,19:14,NA,20180922,Alive,"fell out of whirlpak, still used",In Freezer at URI,20181210,20190924,ES,"459, 460",24.5,56.7,9.1,YES,27,31.3,NA,90,90,95,95,2.205,2.43,5.3865,2.9735,Batch3,,
SITE 6,Reef.42.43,4,P31,Pacuta,20180905,1762,6,ATAC,Ambient,Ambient,TP4,Molecular,19:24,NA,20180922,Alive,,In Freezer at URI,20181210,20191121,ES,"583, 584",20.4,16.75,9.1,YES,18.85,14.6,NA,90,90,95,95,1.836,1.6965,1.59125,1.387,Batch3,,
SITE 6,Reef.42.43,6,P54,Pacuta,20180905,2002,8,ATAC,Ambient,Ambient,TP4,Molecular,19:13,NA,20180922,Alive,,In Freezer at URI,20181210,20190826,ES,"385, 386",48.2,80.5,7.1,YES,26.5,53.7,NA,90,90,95,95,4.338,2.385,7.6475,5.1015,Batch3,,
SITE 4,Reef.11.13,7,P70,Pacuta,20180907,1059,1,ATAC,Ambient,Ambient,TP5,Molecular,13:04,NA,20180923,Alive,,In Freezer at URI,20181210,20190826,ES,"413, 414",27,73.2,9.2,YES,25.2,48,NA,90,90,95,95,2.43,2.268,6.954,4.56,Batch3,,
SITE 3,Reef.18,5,M48,Mcapitata,20180910,1196,1,ATAC,Ambient,Ambient,TP5,Molecular,13:05,NA,20180923,Alive,,In Freezer at URI,20181210,20190730,ES,"157, 158 -  2nd DNA elution values",25.6,33.3,9.1,YES,17.6,20.5,8.6,90,90,95,95,2.304,1.584,3.1635,1.9475,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,
SITE 1,Lilipuna.Fringe,3,P21,Pacuta,20180908,1563,8,ATAC,Ambient,Ambient,TP5,Molecular,13:10,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"447, 448",42.3,39.8,8.7,YES,24,33.2,NA,90,90,95,95,3.807,2.16,3.781,3.154,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 6,Reef.42.43,4,M35,Mcapitata,20180905,1610,6,ATAC,Ambient,Ambient,TP5,Molecular,13:15,NA,20180923,Alive,"re-extracted (195, 196, 599, 600); 600 is E1/E2",In Freezer at URI,20181210,20191125,MS,"599, 600",12.6,11.4,8.8,YES,11.05,6.83,NA,90,90,95,95,1.134,0.9945,1.083,0.64885,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 6,Reef.42.43,1,P4,Pacuta,20180905,1757,6,ATAC,Ambient,Ambient,TP5,Molecular,13:14,NA,20180923,Alive,,In Freezer at URI,20181210,20190731,ES,"197, 198 - 2nd DNA elution values",48,96.8,8.6,YES,31.4,25,8.3,90,90,95,95,4.32,2.826,9.196,2.375,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 6,Reef.42.43,5,M42,Mcapitata,20180905,1776,8,ATAC,Ambient,Ambient,TP5,Molecular,13:11,NA,20180923,Alive,,In Freezer at URI,20181210,20190731,ES,"211, 212 - 2nd DNA elution values",10.45,24.5,8.1,YES,10.45,15.5,9,90,90,95,95,0.9405,0.9405,2.3275,1.4725,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 5,Reef.35.36,4,P33,Pacuta,20180906,1077,1,ATAC,Ambient,Ambient,TP5,Physiology,15:07,Run 4,20180923,Alive,,In Freezer at URI,20190118,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,M9,Mcapitata,20180905,1104,1,ATAC,Ambient,Ambient,TP5,Physiology,15:07,Run 4,20180923,Alive,,In Freezer at URI,20190118,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,P49,Pacuta,20180910,1187,1,ATAC,Ambient,Ambient,TP5,Physiology,15:07,Run 4,20180923,Alive,phys no weigh,"Found in 20190923 bag, originally written as 1087",NA,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,4,P33,Pacuta,20180908,1430,6,ATAC,Ambient,Ambient,TP5,Physiology,11:47,Run 2,20180923,Alive,phys no weigh,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,4,P36,Pacuta,20180908,1437,6,ATAC,Ambient,Ambient,TP5,Physiology,11:47,Run 2,20180923,Alive,phys no weigh,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,1,M8,Mcapitata,20180908,1479,6,ATAC,Ambient,Ambient,TP5,Physiology,11:47,Run 2,20180923,Alive,phys no weigh,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,M48,Mcapitata,20180906,1564,8,ATAC,Ambient,Ambient,TP5,Physiology,18:06,Run 6,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 2,Lilipuna.Fringe,1,P2,Pacuta,20180908,1570,8,ATAC,Ambient,Ambient,TP5,Physiology,18:06,Run 6,20180923,Alive,two 1570s??,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,6,P60,Pacuta,20180906,1574,8,ATAC,Ambient,Ambient,TP5,Physiology,18:06,Run 6,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,4,M36,Mcapitata,20180904,1650,8,ATAC,Ambient,Ambient,TP5,Physiology,18:06,Run 6,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,2,M13,Mcapitata,20180910,2360,6,ATAC,Ambient,Ambient,TP5,Physiology,11:47,Run 2,20180923,Alive,phys no weigh,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,7,M65,Mcapitata,20180907,1061,1,ATAC,Ambient,Ambient,TP5,Physiology ,15:07,Run 4,20180923,Alive,,In Freezer at URI,20190118,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,6,P59,Pacuta,20180910,1050,1,ATAC,Ambient,Ambient,TP6,Molecular,13:10,NA,20180929,Alive,,In Freezer at URI,20181219,20190809,ES,"341, 342",38.4,85.9,7.6,YES,35.4,59.2,7.2,90,90,95,95,3.456,3.186,8.1605,5.624,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,
SITE 6,Reef.42.43,2,M11,Mcapitata,20180905,1114,1,ATAC,Ambient,Ambient,TP6,Molecular,13:11,NA,20180929,Alive,,In Freezer at URI,20181219,20190805,ES,"271, 272",24.8,36,8.7,YES,10.05,23.6,6.4,90,90,95,95,2.232,0.9045,3.42,2.242,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,
SITE 5,Reef.35.36,6,P53,Pacuta,20180906,1468,6,ATAC,Ambient,Ambient,TP6,Molecular,13:19,NA,20180929,Alive,"re-extracted (255, 256, 587, 588); combined hard DNA E1/E2; green columns used for DNA, DNA/RNA shield used as wash for DNA for 255, 256",In Freezer at URI,20181219,20191121,ES,"587, 588",26.8,35.8,8.4,YES,15.95,18.7,NA,90,90,95,95,2.412,1.4355,3.401,1.7765,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-02-Soft-and-Hard-Homogenization-Extractions-%23255-266.md,
SITE 1,Lilipuna.Fringe,6,P52,Pacuta,20180908,1542,8,ATAC,Ambient,Ambient,TP6,Molecular,13:09,NA,20180929,Alive,,In Freezer at URI,20181219,20190815,MS,"351, 352",37.9,38.3,8.1,YES,15.35,29,NA,90,90,95,95,3.411,1.3815,3.6385,2.755,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,
SITE 6,Reef.42.43,1,M6,Mcapitata,20180905,1611,6,ATAC,Ambient,Ambient,TP6,Molecular,13:20,NA,20180929,Alive,,In Freezer at URI,20181210,20190806,ES,"299, 300",11.45,20.4,8.8,YES,5.64,18.5,NA,90,90,95,95,1.0305,0.5076,1.938,1.7575,Batch3,,
SITE 3,Reef.18,7,M67,Mcapitata,20180910,2402,8,ATAC,Ambient,Ambient,TP6,Molecular,13:08,NA,20180929,Alive,,In Freezer at URI,20181219,20190826,ES,379. 380,27.9,32.3,8.9,YES,18.7,14,NA,90,90,95,95,2.511,1.683,3.0685,1.33,Batch3,,
SITE 4,Reef.11.13,8,P74,Pacuta,20180907,1054,1,ATAC,Ambient,Ambient,TP6,Physiology,9:59,Run 1,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,M7,Mcapitata,20180907,1067,1,ATAC,Ambient,Ambient,TP6,Physiology,9:59,Run 1,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,7,P62,Pacuta,20180905,1118,1,ATAC,Ambient,Ambient,TP6,Physiology,9:59,Run 1,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,7,M68,Mcapitata,20180910,1189,1,ATAC,Ambient,Ambient,TP6,Physiology,9:59,Run 1,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,M52,Mcapitata,20180907,1461,6,ATAC,Ambient,Ambient,TP6,Physiology,14:35,Run 5,20180929,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,8,P73,Pacuta,20180906,1495,6,ATAC,Ambient,Ambient,TP6,Physiology,14:35,Run 5,20180929,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,M27,Mcapitata,20180908,1587,8,ATAC,Ambient,Ambient,TP6,Physiology,12:18,Run 3,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,6,P57,Pacuta,20180905,1626,6,ATAC,Ambient,Ambient,TP6,Physiology,14:35,Run 5,20180929,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,7,M64,Mcapitata,20180904,1629,6,ATAC,Ambient,Ambient,TP6,Physiology,14:35,Run 5,20180929,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,6,P58,Pacuta,20180906,1693,8,ATAC,Ambient,Ambient,TP6,Physiology,12:18,Run 3,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,2,P17,Pacuta,20180905,2022,8,ATAC,Ambient,Ambient,TP6,Physiology,12:18,Run 3,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,6,M59,Mcapitata,20180910,2394,8,ATAC,Ambient,Ambient,TP6,Physiology,12:18,Run 3,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,1,P8,Pacuta,20180908,1047,1,ATAC,Ambient,Ambient,TP7,Molecular,13:44,NA,20181006,Alive,,In Freezer at HIMB,TBD,20190808,ES,"325, 326",57.5,88.4,8.3,YES,37.4,30.8,7.8,90,90,95,95,5.175,3.366,8.398,2.926,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,
SITE 1,Lilipuna.Fringe,5,M46,Mcapitata,20180908,1058,1,ATAC,Ambient,Ambient,TP7,Molecular,13:45,NA,20181006,Alive,,In Freezer at HIMB,TBD,20190823,MS,"371, 372",30.7,29.8,8.8,YES,14.95,20,NA,90,90,95,95,2.763,1.3455,2.831,1.9,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,
SITE 4,Reef.11.13,8,P73,Pacuta,20180907,1445,6,ATAC,Ambient,Ambient,TP7,Molecular,13:21,NA,20181006,Alive,,In Freezer at HIMB,TBD,20190826,ES,"375, 376",41.4,83.3,7.5,YES,26.1,58.3,NA,90,90,95,95,3.726,2.349,7.9135,5.5385,Batch3,,
SITE 5,Reef.35.36,6,M59,Mcapitata,20180906,1455,6,ATAC,Ambient,Ambient,TP7,Molecular,13:20,NA,20181006,Alive,"re-extracted (285, 286, 609, 610)",In Freezer at HIMB,TBD,20191202,ES,"609, 610",19.55,17.45,9.1,YES,12.45,10.2,NA,90,90,95,95,1.7595,1.1205,1.65775,0.969,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,
SITE 5,Reef.35.36,6,M53,Mcapitata,20180906,1499,8,ATAC,Ambient,Ambient,TP7,Molecular,13:31,NA,20181006,Alive,,In Freezer at HIMB,TBD,20190808,ES,"329, 330",27.5,19.4,9,YES,14.35,18,8.7,90,90,95,95,2.475,1.2915,1.843,1.71,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,
SITE 3,Reef.18,3,P21,Pacuta,20180910,2413,8,ATAC,Ambient,Ambient,TP7,Molecular,13:30,NA,20181006,Alive,,In Freezer at HIMB,TBD,20190809,ES,"333, 334",59.1,70.9,8.5,YES,36.9,43.9,8,90,90,95,95,5.319,3.321,6.7355,4.1705,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,
SITE 1,Lilipuna.Fringe,1,P3,Pacuta,20180908,1080,1,ATAC,Ambient,Ambient,TP7,Physiology,10:34,Run 1,20181006,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,2,M15,Mcapitata,20180904,1099,1,ATAC,Ambient,Ambient,TP7,Physiology,10:34,Run 1,20181006,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,3,M27,Mcapitata,20180905,1117,1,ATAC,Ambient,Ambient,TP7,Physiology,10:34,Run 1,20181006,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,6,P58,Pacuta,20180905,1222,1,ATAC,Ambient,Ambient,TP7,Physiology,10:34,Run 1 ,20181006,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,P44,Pacuta,20180906,1500,6,ATAC,Ambient,Ambient,TP7,Physiology,16:54,Run 5,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,5,M44,Mcapitata,20180905,1598,6,ATAC,Ambient,Ambient,TP7,Physiology,16:54,Run 5,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,2,P19,Pacuta,20180905,1622,6,ATAC,Ambient,Ambient,TP7,Physiology,16:54,Run 5,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,6,M58,Mcapitata,20180904,1625,6,ATAC,Ambient,Ambient,TP7,Physiology,16:54,Run 5,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,P53,Pacuta,20180907,1690,8,ATAC,Ambient,Ambient,TP7,Physiology,13:59,Run 3,20181006,Alive,,In Freezer at HIMB,TBD,,,,,,,,,,,,,,,,,,,,,
