Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,NCBI_Sample_Title,NCBI_Sample_Name,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link,host_subject_id,Project
SITE 3,Reef.18,7,P69,Pacuta,20180910,2550_ATHC_HoloInt,2550_ATHC,2550,12,ATHC,Ambient,High,8 week,Molecular,13:45,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190724,ES,"117, 118",38.6,47,8.6,YES,60.4,42.8,8.3,90,90,90,90,3.474,5.436,4.23,3.852,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW141,HoloInt
SITE 6,Reef.42.43,1,P6,Pacuta,20180905,1765_HTAC_HoloInt,1765_HTAC,1765,7,HTAC,High,Ambient,4 week,Molecular,13:33,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190725,ES,"119, 120",76,67.3,7.2,YES,50.5,37.4,6.7,90,90,95,95,6.84,4.545,6.3935,3.553,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW135,HoloInt
SITE 5,Reef.35.36,6,P52,Pacuta,20180906,1536_HTAC_HoloInt,1536_HTAC,1536,7,HTAC,High,Ambient,8 week,Molecular,13:28,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190725,ES,"121, 122",79.5,61.6,7.8,YES,58.2,49.1,7.6,90,90,90,90,7.155,5.238,5.544,4.419,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW150,HoloInt
SITE 4,Reef.11.13,6,P56,Pacuta,20180907,2993_ATHC_HoloInt,2993_ATHC,2993,12,ATHC,Ambient,High,12 hour,Molecular,19:20,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190725,ES,"123, 124",81.5,73.7,6.6,YES,48.4,48.9,6.3,90,90,95,95,7.335,4.356,7.0015,4.6455,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW235,HoloInt
SITE 6,Reef.42.43,1,P2,Pacuta,20180905,1238_HTHC_HoloInt,1238_HTHC,1238,2,HTHC,High,High,8 week,Molecular,13:07,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190725,ES,"125, 126",43.1,55.2,8.5,YES,27.4,31.7,8.1,90,90,90,90,3.879,2.466,4.968,2.853,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW165,HoloInt
SITE 1,Lilipuna.Fringe,7,P65,Pacuta,20180908,1559_ATAC_HoloInt,1559_ATAC,1559,8,ATAC,Ambient,Ambient,8 week,Molecular,13:32,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190725,ES,"129, 130",50,43.1,8.4,YES,35.4,81.7,7.8,90,90,90,90,4.5,3.186,3.879,7.353,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW155,HoloInt
SITE 6,Reef.42.43,7,P64,Pacuta,20180905,2026_HTAC_HoloInt,2026_HTAC,2026,9,HTAC,High,Ambient,6 hour,Molecular,13:36,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190718,ES,"13, 14",11.95,23.1,7.9,YES,14.85,27.4,7.6,90,90,90,90,1.0755,1.3365,2.079,2.466,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW251,HoloInt
SITE 3,Reef.18,5,P44,Pacuta,20180910,1060_ATAC_HoloInt,1060_ATAC,1060,1,ATAC,Ambient,Ambient,12 hour,Molecular,19:18,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190725,ES,"131, 132",71.8,81.7,7.9,YES,44.3,50.1,7.7,90,90,90,90,6.462,3.987,7.353,4.509,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW275,HoloInt
SITE 4,Reef.11.13,7,M64,Mcapitata,20180907,1478_HTAC_HoloInt,1478_HTAC,1478,7,HTAC,High,Ambient,8 week,Molecular,13:26,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190725,ES,"133, 134",47.5,38.3,8,YES,36,24.1,8.1,90,90,90,90,4.275,3.24,3.447,2.169,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW174,HoloInt
SITE 4,Reef.11.13,3,M27,Mcapitata,20180907,1331_HTHC_HoloInt,1331_HTHC,1331,5,HTHC,High,High,6 week,Molecular,13:37,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190725,ES,"135, 136",15.9,11.8,8.7,YES,10.8,**,**,90,90,90,90,1.431,0.972,1.062,#VALUE!,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW214,HoloInt
SITE 1,Lilipuna.Fringe,2,M15,Mcapitata,20180908,1306_HTAC_HoloInt,1306_HTAC,1306,4,HTAC,High,Ambient,6 week,Molecular,13:36,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190725,ES,"137, 138",37.3,26.6,8.4,YES,31.7,13.7,8.5,90,90,90,90,3.357,2.853,2.394,1.233,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,NA,HPW231,HoloInt
SITE 3,Reef.18,7,P66,Pacuta,20180910,2564_ATHC_HoloInt,2564_ATHC,2564,12,ATHC,Ambient,High,4 week,Molecular,13:44,NA,20181020,Alive,combined E1/E2 hard DNA 140; RNA in 2 equal volume elutions,In Freezer at URI,20181210,20190726,ES,"139, 140",34.1,11.2,6.8,YES,57.5,14.8,7.8,40,40,90,90,1.364,2.3,1.008,1.332,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-26-Soft-and-Hard-Homogenization-Extractions-%23139-146.md,NA,HPW123,HoloInt
SITE 5,Reef.35.36,7,P70,Pacuta,20180906,1303_HTAC_HoloInt,1303_HTAC,1303,4,HTAC,High,Ambient,30 hour,Molecular,13:19,NA,20180923,Alive,RNA in 2 equal volume elutions,In Freezer at URI,20181210,20190726,ES,"143, 144 - 2nd elution RNA and DNA values",33.6,29.2,7.1,YES,18.85,18.4,6.9,40,40,45,45,1.344,0.754,1.314,0.828,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-26-Soft-and-Hard-Homogenization-Extractions-%23139-146.md,NA,HPW070,HoloInt
SITE 4,Reef.11.13,3,P21,Pacuta,20180907,1296_ATHC_HoloInt,1296_ATHC,1296,3,ATHC,Ambient,High,30 hour,Molecular,13:09,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190729,ES,"147, 148 -  2nd DNA elution values",29.6,81.5,8,YES,21.5,50.2,7.7,90,90,95,95,2.664,1.935,7.7425,4.769,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,NA,HPW103,HoloInt
SITE 4,Reef.11.13,8,M73,Mcapitata,20180907,2995_ATHC_HoloInt,2995_ATHC,2995,12,ATHC,Ambient,High,6 week,Molecular,13:11,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190729,ES,"149, 150",11.25,16.9,8.2,YES,8.99,10.6,8.3,40,40,95,95,0.45,0.3596,1.6055,1.007,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,NA,HPW195,HoloInt
SITE 5,Reef.35.36,8,P71,Pacuta,20180906,1471_ATAC_HoloInt,1471_ATAC,1471,6,ATAC,Ambient,Ambient,6 hour,Molecular,13:38,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190718,ES,"15, 16",54.8,53.9,8.5,YES,41.2,52.9,8,90,90,90,90,4.932,3.708,4.851,4.761,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW228,HoloInt
SITE 5,Reef.35.36,1,P10,Pacuta,20180906,2197_ATHC_HoloInt,2197_ATHC,2197,11,ATHC,Ambient,High,8 week,Molecular,13:40,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190729,ES,"151, 152",40.3,70.2,8.6,YES,25.4,47.8,8.3,40,40,95,95,1.612,1.016,6.669,4.541,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,NA,HPW090,HoloInt
SITE 6,Reef.42.43,5,M41,Mcapitata,20180905,1779_ATAC_HoloInt,1779_ATAC,1779,8,ATAC,Ambient,Ambient,4 week,Molecular,13:30,NA,20181020,Alive,phys no weigh; need to confirm in tank,In Freezer at URI,20181210,20190729,ES,"153, 154",16.95,14.6,8.7,YES,16.9,10.1,**,40,40,95,95,0.678,0.676,1.387,0.9595,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,NA,HPW077,HoloInt
SITE 2,HIMB,1,P7,Pacuta,20180905,2873_ATHC_HoloInt,2873_ATHC,2873,11,ATHC,Ambient,High,6 week,Molecular,13:15,NA,20181103,Alive,phys no weigh; need to confirm in tank,In Freezer at URI,20181127,20190730,ES,"155, 156",70.1,92.7,8.8,YES,44.2,55.7,7,90,90,95,95,6.309,3.978,8.8065,5.2915,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW192,HoloInt
SITE 3,Reef.18,5,M48,Mcapitata,20180910,1196_ATAC_HoloInt,1196_ATAC,1196,1,ATAC,Ambient,Ambient,30 hour,Molecular,13:05,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190730,ES,"157, 158 -  2nd DNA elution values",25.6,33.3,9.1,YES,17.6,20.5,8.6,90,90,95,95,2.304,1.584,3.1635,1.9475,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW102,HoloInt
SITE 2,HIMB,3,P24,Pacuta,20180905,1225_HTAC_HoloInt,1225_HTAC,1225,4,HTAC,High,Ambient,8 week,Molecular,13:14,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190730,ES,"159, 160",43.3,106,7.2,YES,21.6,56.5,6.4,90,90,95,95,3.897,1.944,10.07,5.3675,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW074,HoloInt
SITE 2,HIMB,4,P36,Pacuta,20180905,2861_ATHC_HoloInt,2861_ATHC,2861,11,ATHC,Ambient,High,4 week,Molecular,13:38,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190730,ES,"161, 162",34.4,82.3,7.8,YES,25.3,56.2,7.7,90,90,90,90,3.096,2.277,7.407,5.058,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW066,HoloInt
SITE 2,HIMB,2,P18,Pacuta,20180905,2064_HTAC_HoloInt,2064_HTAC,2064,9,HTAC,High,Ambient,8 week,Molecular,13:35,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190730,ES,"167, 168",28.9,69.6,8.1,YES,29.5,62.7,8,90,90,95,95,2.601,2.655,6.612,5.9565,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW111,HoloInt
SITE 2,HIMB,4,M32,Mcapitata,20180904,1644_ATAC_HoloInt,1644_ATAC,1644,8,ATAC,Ambient,Ambient,12 week,Molecular,10:09,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI,20190206,20190718,ES,"17, 18",42.6,16.8,8.1,YES,34.1,15.8,8.2,90,90,90,90,3.834,3.069,1.512,1.422,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW160,HoloInt
SITE 5,Reef.35.36,7,P62,Pacuta,20180906,1168_HTHC_HoloInt,1168_HTHC,1168,2,HTHC,High,High,30 hour,Molecular,13:17,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190730,ES,"171, 172 -  2nd DNA elution values",15.95,70.4,8.8,YES,21.5,60.1,8.8,90,90,95,95,1.4355,1.935,6.688,5.7095,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW086,HoloInt
SITE 4,Reef.11.13,3,M26,Mcapitata,20180907,1561_ATAC_HoloInt,1561_ATAC,1561,8,ATAC,Ambient,Ambient,8 week,Molecular,13:30,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190730,ES,"173, 174",22.2,30.7,8.6,YES,15.95,17.5,8.8,90,90,95,95,1.998,1.4355,2.9165,1.6625,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW156,HoloInt
SITE 1,Lilipuna.Fringe,5,P45,Pacuta,20180908,1220_ATHC_HoloInt,1220_ATHC,1220,3,ATHC,Ambient,High,12 hour,Molecular,19:33,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190730,ES,"175, 176 - values for 2nd elution",24.3,79.2,8.8,YES,20.3,57,7.8,90,90,95,95,2.187,1.827,7.524,5.415,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW210,HoloInt
SITE 2,HIMB,1,M10,Mcapitata,20180904,2000_HTAC_HoloInt,2000_HTAC,2000,9,HTAC,High,Ambient,12 hour,Molecular,19:27,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190730,ES,"177, 178",12.15,28.2,8.5,YES,19,19.2,7.4,90,90,95,95,1.0935,1.71,2.679,1.824,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW230,HoloInt
SITE 3,Reef.18,4,P32,Pacuta,20180910,2300_HTHC_HoloInt,2300_HTHC,2300,5,HTHC,High,High,8 week,Molecular,13:20,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190731,ES,"181, 182",62.1,71.6,8.3,YES,33.3,60,8.6,90,90,95,95,5.589,2.997,6.802,5.7,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW175,HoloInt
SITE 1,Lilipuna.Fringe,7,P66,Pacuta,20180908,1184_HTHC_HoloInt,1184_HTHC,1184,2,HTHC,High,High,4 week,Molecular,13:30,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190731,ES,"183, 184",49,84.9,8,YES,33.7,59.8,8.1,90,90,95,95,4.41,3.033,8.0655,5.681,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW084,HoloInt
SITE 3,Reef.18,1,M5,Mcapitata,20180910,1345_HTHC_HoloInt,1345_HTHC,1345,2,HTHC,High,High,30 hour,Molecular,13:18,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190731,ES,"187, 188 - 2nd DNA elution values",25.5,56.2,8.4,YES,23.5,41.8,9,90,90,95,95,2.295,2.115,5.339,3.971,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW170,HoloInt
SITE 6,Reef.42.43,5,P41,Pacuta,20180905,1676_HTHC_HoloInt,1676_HTHC,1676,5,HTHC,High,High,0 hour,Molecular,7:22,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190718,ES,"19, 20",28,41,7.6,YES,23.5,37.2,7.3,90,140,90,90,3.92,2.115,3.69,3.348,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW191,HoloInt
SITE 3,Reef.18,4,M39,Mcapitata,20180910,2412_HTAC_HoloInt,2412_HTAC,2412,9,HTAC,High,Ambient,6 week,Molecular,13:24,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190731,ES,"193, 194",21.2,45.5,8.6,YES,15.15,28.2,8.6,90,90,95,95,1.908,1.3635,4.3225,2.679,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW313,HoloInt
SITE 6,Reef.42.43,1,P4,Pacuta,20180905,1757_ATAC_HoloInt,1757_ATAC,1757,6,ATAC,Ambient,Ambient,30 hour,Molecular,13:14,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190731,ES,"197, 198 - 2nd DNA elution values",48,96.8,8.6,YES,31.4,25,8.3,90,90,95,95,4.32,2.826,9.196,2.375,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW171,HoloInt
SITE 6,Reef.42.43,5,P48,Pacuta,20180905,2012_ATAC_HoloInt,2012_ATAC,2012,8,ATAC,Ambient,Ambient,4 week,Molecular,13:31,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190730,ES,"203, 204",18.9,46.5,8.8,YES,36.1,60.6,8.7,90,90,95,95,1.701,3.249,4.4175,5.757,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,NA,HPW159,HoloInt
SITE 5,Reef.35.36,6,M55,Mcapitata,20180906,1436_ATAC_HoloInt,1436_ATAC,1436,6,ATAC,Ambient,Ambient,4 week,Molecular,13:43,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190731,ES,"205, 206",16.1,14.8,9.1,YES,9.3,**,**,90,90,95,95,1.449,0.837,1.406,#VALUE!,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW109,HoloInt
SITE 6,Reef.42.43,4,P38,Pacuta,20180905,1254_ATHC_HoloInt,1254_ATHC,1254,3,ATHC,Ambient,High,1 week,Molecular,13:05,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190731,ES,"207, 208",43.3,49.7,8,YES,32.7,32.7,8.5,90,90,95,95,3.897,2.943,4.7215,3.1065,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW184,HoloInt
SITE 4,Reef.11.13,5,P43,Pacuta,20180907,1051_ATAC_HoloInt,1051_ATAC,1051,1,ATAC,Ambient,Ambient,4 week,Molecular,13:35,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190731,ES,"209, 210",86.2,75.7,8.3,YES,45.5,68.7,8.2,90,90,95,95,7.758,4.095,7.1915,6.5265,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW149,HoloInt
SITE 2,HIMB,7,M70,Mcapitata,20180904,1631_ATAC_HoloInt,1631_ATAC,1631,6,ATAC,Ambient,Ambient,8 week,Molecular,13:24,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190718,ES,"21, 22",20.4,13,8.7,YES,20.2,13.6,8.7,90,90,90,90,1.836,1.818,1.17,1.224,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW158,HoloInt
SITE 6,Reef.42.43,5,M42,Mcapitata,20180905,1776_ATAC_HoloInt,1776_ATAC,1776,8,ATAC,Ambient,Ambient,30 hour,Molecular,13:11,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190731,ES,"211, 212 - 2nd DNA elution values",10.45,24.5,8.1,YES,10.45,15.5,9,90,90,95,95,0.9405,0.9405,2.3275,1.4725,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW163,HoloInt
